Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,confirmed,Confirmed
1,30-01-2020,6:00 PM,Kerala,1,0,0,0,1,1
2,31-01-2020,6:00 PM,Kerala,1,0,0,0,1,2
3,01-02-2020,6:00 PM,Kerala,2,0,0,0,2,4
4,02-02-2020,6:00 PM,Kerala,3,0,0,0,3,7
5,03-02-2020,6:00 PM,Kerala,3,0,0,0,3,10
6,04-02-2020,6:00 PM,Kerala,3,0,0,0,3,13
7,05-02-2020,6:00 PM,Kerala,3,0,0,0,3,16
8,06-02-2020,6:00 PM,Kerala,3,0,0,0,3,19
9,07-02-2020,6:00 PM,Kerala,3,0,0,0,3,22
10,08-02-2020,6:00 PM,Kerala,3,0,0,0,3,25
11,09-02-2020,6:00 PM,Kerala,3,0,0,0,3,28
12,10-02-2020,6:00 PM,Kerala,3,0,0,0,3,31
13,11-02-2020,6:00 PM,Kerala,3,0,0,0,3,34
14,12-02-2020,6:00 PM,Kerala,3,0,0,0,3,37
15,13-02-2020,6:00 PM,Kerala,3,0,0,0,3,40
16,14-02-2020,6:00 PM,Kerala,3,0,0,0,3,43
17,15-02-2020,6:00 PM,Kerala,3,0,0,0,3,46
18,16-02-2020,6:00 PM,Kerala,3,0,0,0,3,49
19,17-02-2020,6:00 PM,Kerala,3,0,0,0,3,52
20,18-02-2020,6:00 PM,Kerala,3,0,0,0,3,55
21,19-02-2020,6:00 PM,Kerala,3,0,0,0,3,58
22,20-02-2020,6:00 PM,Kerala,3,0,0,0,3,61
23,21-02-2020,6:00 PM,Kerala,3,0,0,0,3,64
24,22-02-2020,6:00 PM,Kerala,3,0,0,0,3,67
25,23-02-2020,6:00 PM,Kerala,3,0,0,0,3,70
26,24-02-2020,6:00 PM,Kerala,3,0,0,0,3,73
27,25-02-2020,6:00 PM,Kerala,3,0,0,0,3,76
28,26-02-2020,6:00 PM,Kerala,3,0,0,0,3,79
29,27-02-2020,6:00 PM,Kerala,3,0,0,0,3,82
30,28-02-2020,6:00 PM,Kerala,3,0,0,0,3,85
31,29-02-2020,6:00 PM,Kerala,3,0,0,0,3,88
32,01-03-2020,6:00 PM,Kerala,3,0,0,0,3,91
33,02-03-2020,6:00 PM,Telengana,1,0,0,0,1,92
34,02-03-2020,6:00 PM,Kerala,3,0,0,0,3,95
35,02-03-2020,6:00 PM,Delhi,1,0,0,0,1,96
36,03-03-2020,6:00 PM,Telengana,1,0,0,0,1,97
37,03-03-2020,6:00 PM,Rajasthan,0,1,0,0,1,98
38,03-03-2020,6:00 PM,Kerala,3,0,3,0,3,101
39,03-03-2020,6:00 PM,Delhi,1,0,0,0,1,102
40,04-03-2020,6:00 PM,Uttar Pradesh,6,0,0,0,6,108
41,04-03-2020,6:00 PM,Kerala,3,0,3,0,3,111
42,04-03-2020,6:00 PM,Haryana,0,2,0,0,2,113
43,04-03-2020,6:00 PM,Delhi,1,0,0,0,1,114
44,04-03-2020,6:00 PM,Telengana,1,0,0,0,1,115
45,04-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,130
46,05-03-2020,6:00 PM,Delhi,2,0,0,0,2,132
47,05-03-2020,6:00 PM,Haryana,0,2,0,0,2,134
48,05-03-2020,6:00 PM,Kerala,3,0,3,0,3,137
49,05-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,152
50,05-03-2020,6:00 PM,Telengana,1,0,0,0,1,153
51,05-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,160
52,06-03-2020,6:00 PM,Delhi,3,0,0,0,3,163
53,06-03-2020,6:00 PM,Haryana,0,2,0,0,2,165
54,06-03-2020,6:00 PM,Kerala,3,0,3,0,3,168
55,06-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,183
56,06-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,190
57,06-03-2020,6:00 PM,Telengana,1,0,0,0,1,191
58,07-03-2020,6:00 PM,Kerala,3,0,3,0,3,194
59,07-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,201
60,07-03-2020,6:00 PM,Ladakh,2,0,0,0,2,203
61,07-03-2020,6:00 PM,Telengana,1,0,0,0,1,204
62,07-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,205
63,07-03-2020,6:00 PM,Delhi,3,0,0,0,3,208
64,07-03-2020,6:00 PM,Haryana,0,2,0,0,2,210
65,07-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,225
66,08-03-2020,6:00 PM,Ladakh,2,0,0,0,2,227
67,08-03-2020,6:00 PM,Telengana,1,0,0,0,1,228
68,08-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,229
69,08-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,244
70,08-03-2020,6:00 PM,Kerala,8,0,3,0,8,252
71,08-03-2020,6:00 PM,Haryana,0,2,0,0,2,254
72,08-03-2020,6:00 PM,Delhi,3,0,0,0,3,257
73,08-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,264
74,09-03-2020,6:00 PM,Ladakh,2,0,0,0,2,266
75,09-03-2020,6:00 PM,Karnataka,1,0,0,0,1,267
76,09-03-2020,6:00 PM,Kerala,9,0,3,0,9,276
77,09-03-2020,6:00 PM,Maharashtra,2,0,0,0,2,278
78,09-03-2020,6:00 PM,Punjab,1,0,0,0,1,279
79,09-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,294
80,09-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,295
81,09-03-2020,6:00 PM,Telengana,1,0,0,0,1,296
82,09-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,297
83,09-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,304
84,09-03-2020,6:00 PM,Haryana,0,2,0,0,2,306
85,09-03-2020,6:00 PM,Delhi,4,0,0,0,4,310
86,10-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,317
87,10-03-2020,6:00 PM,Ladakh,2,0,0,0,2,319
88,10-03-2020,6:00 PM,Delhi,4,0,0,0,4,323
89,10-03-2020,6:00 PM,Haryana,0,2,0,0,2,325
90,10-03-2020,6:00 PM,Karnataka,4,0,0,0,4,329
91,10-03-2020,6:00 PM,Kerala,15,0,3,0,15,344
92,10-03-2020,6:00 PM,Maharashtra,5,0,0,0,5,349
93,10-03-2020,6:00 PM,Punjab,1,0,0,0,1,350
94,10-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,365
95,10-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,366
96,10-03-2020,6:00 PM,Telengana,1,0,0,0,1,367
97,10-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,368
98,11-03-2020,6:00 PM,Maharashtra,2,0,0,0,2,370
99,11-03-2020,6:00 PM,Delhi,5,0,0,0,5,375
100,11-03-2020,6:00 PM,Haryana,0,14,0,0,14,389
101,11-03-2020,6:00 PM,Kerala,17,0,3,0,17,406
102,11-03-2020,6:00 PM,Rajasthan,1,2,0,0,3,409
103,11-03-2020,6:00 PM,Telengana,1,0,0,0,1,410
104,11-03-2020,6:00 PM,Uttar Pradesh,9,0,0,0,9,419
105,11-03-2020,6:00 PM,Ladakh,2,0,0,0,2,421
106,11-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,422
107,11-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,423
108,11-03-2020,6:00 PM,Punjab,1,0,0,0,1,424
109,11-03-2020,6:00 PM,Karnataka,4,0,0,0,4,428
110,12-03-2020,6:00 PM,Delhi,6,0,0,0,6,434
111,12-03-2020,6:00 PM,Haryana,0,14,0,0,14,448
112,12-03-2020,6:00 PM,Kerala,17,0,3,0,17,465
113,12-03-2020,6:00 PM,Rajasthan,1,2,0,0,3,468
114,12-03-2020,6:00 PM,Telengana,1,0,0,0,1,469
115,12-03-2020,6:00 PM,Uttar Pradesh,10,1,0,0,11,480
116,12-03-2020,6:00 PM,Ladakh,3,0,0,0,3,483
117,12-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,484
118,12-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,485
119,12-03-2020,6:00 PM,Punjab,1,0,0,0,1,486
120,12-03-2020,6:00 PM,Karnataka,4,0,0,0,4,490
121,12-03-2020,6:00 PM,Maharashtra,11,0,0,0,11,501
122,12-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,502
123,13-03-2020,6:00 PM,Delhi,6,0,0,0,6,508
124,13-03-2020,6:00 PM,Haryana,0,14,0,0,14,522
125,13-03-2020,6:00 PM,Kerala,19,0,3,0,19,541
126,13-03-2020,6:00 PM,Rajasthan,1,2,0,0,3,544
127,13-03-2020,6:00 PM,Telengana,1,0,0,0,1,545
128,13-03-2020,6:00 PM,Uttar Pradesh,10,1,0,0,11,556
129,13-03-2020,6:00 PM,Ladakh,3,0,0,0,3,559
130,13-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,560
131,13-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,561
132,13-03-2020,6:00 PM,Punjab,1,0,0,0,1,562
133,13-03-2020,6:00 PM,Karnataka,6,0,0,1,6,568
134,13-03-2020,6:00 PM,Maharashtra,14,0,0,0,14,582
135,13-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,583
136,14-03-2020,6:00 PM,Delhi,7,0,1,1,7,590
137,14-03-2020,6:00 PM,Haryana,0,14,0,0,14,604
138,14-03-2020,6:00 PM,Kerala,19,0,3,0,19,623
139,14-03-2020,6:00 PM,Rajasthan,1,2,1,0,3,626
140,14-03-2020,6:00 PM,Telengana,1,0,0,0,1,627
141,14-03-2020,6:00 PM,Uttar Pradesh,11,1,5,0,12,639
142,14-03-2020,6:00 PM,Ladakh,3,0,0,0,3,642
143,14-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,643
144,14-03-2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2,645
145,14-03-2020,6:00 PM,Punjab,1,0,0,0,1,646
146,14-03-2020,6:00 PM,Karnataka,6,0,0,1,6,652
147,14-03-2020,6:00 PM,Maharashtra,14,0,0,0,14,666
148,14-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,667
149,15-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,668
150,15-03-2020,6:00 PM,Delhi,7,0,2,1,7,675
151,15-03-2020,6:00 PM,Haryana,0,14,0,0,14,689
152,15-03-2020,6:00 PM,Karnataka,6,0,0,1,6,695
153,15-03-2020,6:00 PM,Kerala,22,0,3,0,22,717
154,15-03-2020,6:00 PM,Maharashtra,32,0,0,0,32,749
155,15-03-2020,6:00 PM,Punjab,1,0,0,0,1,750
156,15-03-2020,6:00 PM,Rajasthan,2,2,3,0,4,754
157,15-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,755
158,15-03-2020,6:00 PM,Telengana,3,0,1,0,3,758
159,15-03-2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2,760
160,15-03-2020,6:00 PM,Ladakh,3,0,0,0,3,763
161,15-03-2020,6:00 PM,Uttar Pradesh,12,1,4,0,13,776
162,15-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1,777
163,16-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,778
